date,day_of_week,planning_streak,phase,task_number,is_backlog,backlog_id,task_description,expected_difficulty,expected_motivation,complete_or_not,reason_task_outcome,mood_before,mood_after
04/11/2025,Tuesday,0,1,,,,,,,,,,
05/11/2025,Wednesday,0,1,,,,,,,,,,
06/11/2025,Thursday,0,1,,,,,,,,,,
07/11/2025,Friday,0,1,,,,,,,,,,
08/11/2025,Saturday,0,1,,,,,,,,,,
09/11/2025,Sunday,0,1,,,,,,,,,,
10/11/2025,Monday,0,1,,,,,,,,,,
11/11/2025,Tuesday,0,1,,,,,,,,,,
12/11/2025,Wednesday,0,1,,,,,,,,,,
13/11/2025,Thursday,0,1,,,,,,,,,,
14/11/2025,Friday,0,1,,,,,,,,,,
15/11/2025,Saturday,0,1,,,,,,,,,,
16/11/2025,Sunday,0,1,,,,,,,,,,
17/11/2025,Monday,0,1,,,,,,,,,,
18/11/2025,Tuesday,1,2,1,No,,Less than an hour each screen time for Facebook and Instagram,4,4,No,It exceeded ,4,2
18/11/2025,Tuesday,1,2,2,No,,Early run around UPD,4,3,No,I was not able to wake up early,4,2
19/11/2025,Wednesday,2,2,1,No,,Wake up at 8 am for the whole week,4,2,No,I often sleep at 1am these past few days,3,3
19/11/2025,Wednesday,2,2,2,No,,Try to apply for internship,5,3,No,Portfolio is not yet ready,3,3
20/11/2025,Thursday,3,2,1,Yes,B19,Take more than 3 quality time a day socializing for stress relief,3,4,Yes,Catch up outside with refreshment away from screen time,2,5
20/11/2025,Thursday,3,2,2,No,,Meet a recommended newbie from churchmate,2,5,Yes,Cancelled class,2,5
21/11/2025,Friday,4,2,1,No,,Try visiting clinic and use phone as means of communication,4,3,Yes,Not well so needed to find answers for quick recovery,1,3
21/11/2025,Friday,4,2,2,No,,Exceed the daily XP in Datacamp,3,4,Yes,I got productive,1,3
22/11/2025,Saturday,5,2,1,No,,8 glasses water,4,4,Yes,I needed for voice recovery,3,3
22/11/2025,Saturday,5,2,2,No,,Ginger tea and rest voice as much as possible,3,4,Yes,Not good taste and resting felt boring but I needed,3,3
23/11/2025,Sunday,0,2,,,,,,,,,,
23/11/2025,Sunday,0,2,,,,,,,,,,
24/11/2025,Monday,1,2,1,No,,Do not exceed Social Media app restriction,3,4,Yes,I got productive today so I followed the restriction,3,5
24/11/2025,Monday,1,2,2,Yes,B04,Reread Intermediate Python in Datacamp,4,5,Yes,I achieved 4k XP for the first time,3,5
25/11/2025,Tuesday,0,2,,,,,,,,,,
25/11/2025,Tuesday,0,2,,,,,,,,,,
26/11/2025,Wednesday,1,2,1,No,,Productivity and less of social media,3,4,Yes,First few weeks be like obeying my plans,4,4
26/11/2025,Wednesday,1,2,2,No,,Planning and DS proposal making,4,5,Yes,Pushed myself so I can have a topic to propose,4,4
27/11/2025,Thursday,2,2,1,No,,Early wake up and fetch Titas,3,4,Yes,Few hours of sleep but this is effort for family,4,4
27/11/2025,Thursday,2,2,2,No,,Baclaran with tita and join titas at night,4,4,Yes,Helped my senior Titas because my strength be the one carrying the stuffs bought,4,4
28/11/2025,Friday,3,2,1,No,,Go for a long walk and eat salad,3,4,Yes,Was motivated to walk and reward self a salad,3,3
28/11/2025,Friday,3,2,2,No,,Finish a whole part of track in Datacamp,4,3,No,Not enough amount of time,3,3
29/11/2025,Saturday,4,2,1,No,,No phone usage until 5pm,5,4,Yes,Disciplined myself enough,3,4
29/11/2025,Saturday,4,2,2,Yes,B03,Day 3 of taking 8 glasses of water,3,5,Yes,Still trying to continue the good hydration,3,4
30/11/2025,Sunday,0,2,,,,,,,,,,
30/11/2025,Sunday,0,2,,,,,,,,,,
01/12/2025,Monday,1,2,1,Yes,B01,Data input task by brother,4,4,Yes,He needed my help so I did it immediately,3,4
01/12/2025,Monday,1,2,2,No,,Evangelize 50 students,5,5,No,I was overwhelemed and none of the KKBs was ready,3,4
02/12/2025,Tuesday,2,2,1,No,,Finish Datacamp 2000 XP,4,5,Yes,"I missed a lot, so I focused on finishing",3,3
02/12/2025,Tuesday,2,2,2,No,,No social media until 5 pm,4,4,Yes,"Since I put my phone afar, I successfully did it",3,3
03/12/2025,Wednesday,3,2,1,No,,Read first 5 pages of Probability chapter,4,4,No,Not so productive day,4,3
03/12/2025,Wednesday,3,2,2,No,,Clean all parts of room and do laundry,4,5,Yes,I was able to do the cleaning and laundry because it was already delayed,4,3
04/12/2025,Thursday,4,2,1,No,,Assist Titas in Pasay,4,5,Yes,They needed help so I freed my time,4,4
04/12/2025,Thursday,4,2,2,Yes,B02,Read first 5 pages of Probability chapter,4,5,Yes,Now I got to read it finally because I wanted to start,4,4
05/12/2025,Friday,5,3,1,No,,Morning meet with Allyah,4,4,Yes,Her schedule and mine made it,5,5
05/12/2025,Friday,5,3,2,No,,Gracie talk and evangelism activity,5,4,Yes,Finally free schedule,5,5
05/12/2025,Friday,5,3,3,No,,Data input NUS,3,4,Yes,Another needed help so I finished it,5,5
06/12/2025,Saturday,6,3,1,No,,Buy materials for party preparation below budget,4,4,Yes,We successfully did it with each other's help,3,5
06/12/2025,Saturday,6,3,2,No,,Successful commitee handling,4,5,Yes,The party came off great,3,5
06/12/2025,Saturday,6,3,3,No,,1k Datacamp XP,3,4,No,I lacked time when I got home,3,5
07/12/2025,Sunday,7,3,1,No,,Daily journaling and streak progress amidst busy day,4,4,Yes,Still made it through for the streak,4,4
07/12/2025,Sunday,7,3,2,No,,Accompany brother ,3,4,Yes,"At night, I accompanied him out ",4,4
07/12/2025,Sunday,7,3,3,No,,Attend service atmost 30 minutes late,4,4,No,I was late again,4,4
08/12/2025,Monday,8,3,1,Yes,B20,Deactivate both instagram and facebook for a week,4,4,Yes,Did it for a whole week. Restricted myself ,4,4
08/12/2025,Monday,8,3,2,No,,Delayed catch up with Ashley,3,5,Yes,"Schedule became best, we were both free",4,4
08/12/2025,Monday,8,3,3,No,,Visit relative at night,4,4,Yes,"Rare to visit an Ate but since it is holiday, might as well catch up",4,4
09/12/2025,Tuesday,9,3,1,No,,Continue Datacamp and Anki,3,5,Yes,"Even if the day was busy, I kept track",4,5
09/12/2025,Tuesday,9,3,2,No,,Finalize planning tracking,4,5,Yes,Checked my logs in Excel for discipline,4,5
09/12/2025,Tuesday,9,3,3,No,,Exercise: carry weights today,4,4,No,It was hard for me to go back weight lifting,4,5
10/12/2025,Wednesday,10,3,1,No,,2k Datacamp XP,3,4,Yes,A productive day still even if it got challenging,3,3
10/12/2025,Wednesday,10,3,2,No,,Data Input Task,3,4,Yes,My brother needed me for his PHD application,3,3
10/12/2025,Wednesday,10,3,3,No,,Avoid social media before going to bed,4,4,No,It was a hard resistance when it comes to social media sometimes,3,3
11/12/2025,Thursday,11,3,1,No,,Attend Paskong PH,4,4,Yes,"Since it fell on no classes, I was able to attend",3,3
11/12/2025,Thursday,11,3,2,No,,Continue Datacamp and Anki,3,4,Yes,Discipline check,3,3
