backlog_id,planned,description,date_added,complete_status
B01,Yes,Data input task by brother,01/12/2025,Yes
B02,Yes,Read first 20 pages of Probability chapter,4/12/2025,Yes
B03,Yes,Day 3 of taking 8 glasses of water,29/11/2025,Yes
B04,Yes,Reread Intermediate Python in Datacamp,24/11/2025,Yes
B05,Yes,Finish Supervised Learning Track in Datacamp,07/01/2026,Yes
B06,Yes,Go back to lifting weights for the 5th day for strength improvement,12/01/2026,Yes
B07,Yes,Run 5-km around UST ,12/12/2025,Yes
B08,Yes,Wake up at 8am for day 15,19/12/2025,Yes
B09,Yes,Achieve the 90th-day streak in Datacamp,3/1/2026,Yes
B10,Yes,Finish Linked-In Account,08/01/2026,Yes
B11,Yes,Create a ML-related personal project that's not too simple ,23/01/2026,No
B12,Yes,20th-day Anki Track Accomplishment,26/12/2025,Yes
B13,Yes,Read Outliers book and create a summary,28/01/2026,Yes
B14,Yes,Complete uploading college projects in GitHub,17/01/2026,Yes
B15,Yes,50th-day no soft drinks,21/12/2025,Yes
B16,Yes,Finish the Datacamp Associate Data Scientist in Python,04/02/2026,No
B17,Yes,30th day no usage for first 3 hours after waking,25/12/2025,Yes
B18,Yes,30th-day daily journaling accomplishment ,20/12/2025,Yes
B19,Yes,Take more than 3 quality time a day socializing for stress relief,20/11/2025,Yes
B20,Yes,Deactivate both instagram and facebook for a week,08/12/2025,Yes
